Date,Currency,Mean,Buy,Sell
01/02/2011,CHINESE YUAN,12.314,12.2981,12.3299
01/02/2011,AUSTRALIAN $,81.3581,81.246,81.4703
02/02/2011,US DOLLAR,81.1014,81.0194,81.1833
02/02/2011,STG POUND,131.049,130.895,131.202
02/02/2011,EURO,112.249,112.121,112.377
02/02/2011,SA RAND,11.3818,11.3485,11.4152
02/02/2011,KES/USHS,28.483,28.3925,28.5734
02/02/2011,KES/TSHS,18.5879,18.5383,18.6375
02/02/2011,KES / RWF,7.3921,7.2921,7.492
02/02/2011,KES / BIF,15.1911,14.9415,15.4407
02/02/2011,AE DIRHAM,22.0834,22.0581,22.1088
02/02/2011,CAN $,82.0142,81.9049,82.1234
02/02/2011,S FRANC,86.8495,86.7382,86.9608
02/02/2011,JPY(100),99.4938,99.3436,99.644
02/02/2011,SW KRONER,12.7216,12.7028,12.7405
02/02/2011,NOR KRONER,14.2403,14.2207,14.2598
02/02/2011,DAN KRONER,15.0578,15.042,15.0736
02/02/2011,IND RUPEE,1.7784,1.7767,1.7801
02/02/2011,HONGKONG $,10.4131,10.4019,10.4243
02/02/2011,SINGAPORE $,63.7239,63.6545,63.7933
02/02/2011,SAUDI RIYAL,21.6256,21.6029,21.6483
02/02/2011,CHINESE YUAN,12.3659,12.3486,12.3831
02/02/2011,AUSTRALIAN $,82.0462,81.9431,82.1494
03/02/2011,US DOLLAR,81.0667,80.975,81.1583
03/02/2011,STG POUND,131.272,131.108,131.435
03/02/2011,EURO,111.862,111.707,112.017
03/02/2011,SA RAND,11.3227,11.278,11.3675
03/02/2011,KES/USHS,28.4705,28.3766,28.5644
